Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Saudi Arabia,10.94798496,-1.646677592,5.956874285,2.316558662,11.05648382,20.14961278,11.57236146,8.435399496,17.68979654,-15.71323043,17.19132316,15.52937335,4.015515357,-1.216334595,-2.269998044,-16.90852542
Senegal,1.308659849,6.994935196,1.904645309,-0.922879934,-0.134935111,4.720878754,2.885492002,6.588712451,8.216542731,-1.689038683,1.60441579,3.857470384,3.274111576,1.18613047,-1.515859735,1.06978462
Serbia,80.99265639,86.82621,19.50922485,12.48734161,8.123368746,14.66799608,12.35574242,8.701878497,9.085204854,7.887692895,5.728941631,8.909097738,6.199338956,5.125443276,2.585382937,1.87289248
Seychelles,3.983727231,6.156758865,3.613165237,5.946831619,24.67412016,0.458645157,1.442344622,11.79983858,34.96512789,27.49417926,-4.212723766,4.496235805,8.65859088,4.036639055,2.289925504,2.089710062
Sierra Leone,3.281143083,73.83710846,-3.91621657,13.14347066,12.81586032,16.62996047,12.32894219,6.796332103,9.993714381,7.781761918,17.17711734,17.37417937,12.04107803,6.925152931,1.797312491,18.86476336
Singapore,3.862686509,-1.816264681,-0.888569807,-1.787329124,4.073495064,1.907436782,1.845698784,5.91622845,-1.386165591,2.96109252,1.102609419,1.053835183,0.470225826,-0.449738694,-0.269632864,3.060224155
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,1.128757728,0.295016278,3.873094355,2.418679087,19.842779,0.22717564
Slovak Republic,9.489530011,5.121486981,3.937824045,5.32528183,5.738729108,2.543103888,2.899074419,1.11554354,2.858074061,-1.161221397,0.532681317,1.676477179,1.260116212,0.509341301,-0.192250577,-0.216403221
Slovenia,5.565267655,8.675218454,7.581686541,5.640451047,3.360942095,1.520575153,2.221090879,4.177484524,4.465617844,3.399680891,-1.029317885,1.040015007,0.479044261,1.600355935,0.456031616,1.005043485
Solomon Islands,5.58488111,9.872644638,11.3033011,6.240048451,5.456512993,14.33087892,8.852829248,10.84792807,7.87386185,6.705217836,6.060150604,9.519918474,7.191823507,1.669014848,3.90713021,3.559290371
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.131284405,1.646434723
South Africa,9.182191416,7.800474963,12.53795791,6.395763587,6.04217159,5.597009781,6.064637015,8.245764766,7.850331729,8.663041832,6.128432432,5.539056432,4.685206388,5.844111401,5.366546185,5.545528123
